,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow,Stock,Inventory,Suggestion_qty
0,40043,40043,杭州,001,001,杭州,橙汁,2020-06-15,205,40043,2020-06-14,8.0,瓶,1.0,26,15.330434508591798,32,369,349,0
1,8340,08340,杭州,001,001,杭州,精品冷冻榴莲肉(有核),2020-06-15,83,08340,2020-06-14,20.0,盒,10.0,4,10.0,4,50,48,0
2,40115,40115,杭州,001,001,杭州,油真多海鸭蛋礼盒装,2020-06-15,589,40115,2020-06-14,10.0,盒,10.0,59,10.0,59,2203,2173,0
3,7560,07560,杭州,001,001,杭州,A级-泰国金枕榴莲,2020-06-15,5193,07560,2020-06-14,31.0,斤,1.0,168,10.0,168,189,81,97
4,12050,12050,杭州,001,001,杭州,A级-小黄瓜,2020-06-17,2942,12050,2020-06-14,5.0,斤,10.0,588,10.0,583,676,293,305
5,12050,12050,杭州,001,001,杭州,A级-小黄瓜,2020-06-17,2942,12050,2020-06-14,5.0,斤,10.0,588,10.0,583,676,293,305
6,12050,12050,杭州,001,001,杭州,A级-小黄瓜,2020-06-17,2942,12050,2020-06-14,5.0,斤,10.0,588,10.0,583,676,293,305
7,12050,12050,杭州,001,001,杭州,A级-小黄瓜,2020-06-17,2942,12050,2020-06-14,5.0,斤,10.0,588,10.0,583,676,293,305
8,13000,13000,杭州,001,001,杭州,A级-皇冠蜜梨(中),2020-06-15,3653,13000,2020-06-14,25.0,斤,70.0,146,10.0,140,621,513,0
9,6850,06850,杭州,001,001,杭州,A级-百香果(盒),2020-06-15,516,06850,2020-06-14,12.0,盒,1.0,43,10.0,42,82,41,12
10,6850,06850,杭州,001,001,杭州,A级-百香果(盒),2020-06-15,516,06850,2020-06-14,12.0,盒,1.0,43,10.0,42,82,41,12
11,40153,40153,杭州,001,001,杭州,小米蛋糕,2020-06-15,1667,40153,2020-06-14,1.0,小箱,0.0,1667,10.0,1667,2199,2166,0
12,14880,14880,杭州,001,001,杭州,B级-金火龙(大),2020-06-15,5995,14880,2020-06-14,12.5,斤,1.0,480,10.0,480,597,181,309
13,14800,14800,杭州,001,001,杭州,B级-红西柚(小),2020-06-15,543,14800,2020-06-14,12.0,只,1.0,45,10.0,42,30,2,53
14,40114,40114,杭州,001,001,杭州,油真多海鸭蛋4粒装,2020-06-15,409,40114,2020-06-14,18.0,盒,10.0,23,10.0,23,1307,1302,0
15,15000,15000,杭州,001,001,杭州,A级-妃子笑荔枝,2020-06-15,13225,15000,2020-06-14,10.0,斤,1.0,2259,505.0248838753724,1263,6482,4282,0
16,1270,01270,杭州,001,001,杭州,A级-冰糖木瓜,2020-06-15,99,01270,2020-06-14,8.0,斤,1.0,12,10.0,13,18,12,10
17,7290,07290,杭州,001,001,杭州,A级-银火龙,2020-06-15,1107,07290,2020-06-14,10.0,斤,1.0,111,10.0,99,100,3,118
18,65450,65450,杭州,001,001,杭州,A级-国产蓝莓(中),2020-06-15,6675,65450,2020-06-14,12.0,盒,1.0,556,51.100541152931534,548,744,483,124
19,65450,65450,杭州,001,001,杭州,A级-国产蓝莓(中),2020-06-15,6675,65450,2020-06-14,12.0,盒,1.0,556,51.100541152931534,548,744,483,124
20,10720,10720,杭州,001,001,杭州,A级-泰国山竹(大),2020-06-15,6778,10720,2020-06-14,15.0,斤,1.0,452,339.00046542085386,394,405,147,644
21,10130,10130,杭州,001,001,杭州,A级-冰糖枇杷,2020-06-15,515,10130,2020-06-14,14.0,斤,1.0,37,17.65022980714126,52,60,27,28
22,8330,08330,杭州,001,001,杭州,冷冻榴莲(无核),2020-06-15,243,08330,2020-06-14,20.0,盒,10.0,16,10.0,12,66,50,0
23,15040,15040,杭州,001,001,杭州,A级-桂味荔枝,2020-06-15,3122,15040,2020-06-14,7.0,斤,10.0,446,446.0,358,0,0,892
24,40300,40300,杭州,001,001,杭州,越南酸奶草莓味,2020-06-15,183,40300,2020-06-14,12.0,盒,10.0,15,10.0,15,1008,996,0
25,6130,06130,杭州,001,001,杭州,A级-澳洲无籽红提,2020-06-15,2547,06130,2020-06-14,18.0,斤,1.0,142,69.36799238371353,256,312,161,50
26,3040,03040,杭州,001,001,杭州,A级-真空杨梅(大),2020-06-15,127,03040,2020-06-14,1.0,斤,1.0,127,10.0,127,100,73,64
27,13708,13708,杭州,001,001,杭州,A级-鲜丰御梅(中),2020-06-15,4898,13708,2020-06-14,15.0,斤,10.0,327,10.0,327,195,0,337
28,40042,40042,杭州,001,001,杭州,奇异果苹果复合果汁饮品,2020-06-15,95,40042,2020-06-14,8.0,瓶,1.0,15,12.0,12,314,299,0
29,5000,05000,杭州,001,001,杭州,A级-甜心笑麒麟瓜,2020-06-15,79529,05000,2020-06-14,30.0,斤,1.0,2651,10.0,2651,0,-3740,2661
30,6540,06540,杭州,001,001,杭州,A级-美国橙(中),2020-06-15,1573,06540,2020-06-14,20.0,斤,1.0,79,13.313335343150628,88,90,2,90
31,2020,02020,杭州,001,001,杭州,A级-锦绣黄桃(中),2020-06-15,1706,02020,2020-06-14,8.0,斤,10.0,233,58.240178290823756,128,499,351,0
32,5590,05590,杭州,001,001,杭州,A级-佳沛绿果,2020-06-15,9225,05590,2020-06-14,92.0,只,0.0,100,14.38607603460615,95,901,869,0
33,12190,12190,杭州,001,001,杭州,A级-龙珠果,2020-06-15,41,12190,2020-06-14,5.0,斤,1.0,8,10.0,9,7,6,12
34,43330,43330,杭州,001,001,杭州,奶油味碧根果,2020-06-15,66,43330,2020-06-14,3.0,小箱,0.0,22,17.911915997287323,32,183,183,0
35,40680,40680,杭州,001,001,杭州,越南酸奶百香果味,2020-06-15,245,40680,2020-06-14,12.0,盒,10.0,20,20.0,78,1361,1352,0
36,5200,05200,杭州,001,001,杭州,A级-沙洲绿宝瓜(中),2020-06-19,26397,05200,2020-06-14,14.0,斤,1.0,1886,39.008110093430886,1852,4064,3636,0
37,5200,05200,杭州,001,001,杭州,A级-沙洲绿宝瓜(中),2020-06-19,26397,05200,2020-06-14,14.0,斤,1.0,1886,39.008110093430886,1852,4064,3636,0
38,40036,40036,杭州,001,001,杭州,香辣海带结192g,2020-06-15,129,40036,2020-06-14,12.0,包,10.0,11,10.0,11,156,146,0
39,10600,10600,杭州,001,001,杭州,经典-嘴甜蜜瓜,2020-06-15,3198,10600,2020-06-14,11.0,小箱,1.0,291,10.0,291,858,750,0
40,11590,11590,杭州,001,001,杭州,A级-满山红富士(中),2020-06-17,6334,11590,2020-06-14,24.0,斤,0.0,264,10.0,264,465,262,12
41,10890,10890,杭州,001,001,杭州,A级-脆心甜红富士(中),2020-06-15,1844,10890,2020-06-14,21.0,斤,1.0,88,34.71516753730071,108,851,785,0
42,40148,40148,杭州,001,001,杭州,粽意,2020-06-15,437,40148,2020-06-14,10.0,小箱,10.0,44,10.0,44,1357,1332,0
43,30220,30220,杭州,001,001,杭州,A级-佳沛特大金果王,2020-06-15,2669,30220,2020-06-14,41.0,只,0.0,65,65.0,107,240,240,0
44,65950,65950,杭州,001,001,杭州,A级-翡翠红肉柚,2020-06-15,151,65950,2020-06-14,15.0,斤,1.0,53,10.0,10,207,154,0
45,5020,05020,杭州,001,001,杭州,A级-鲜丰玉麒麟(2#),2020-06-15,56310,05020,2020-06-14,30.0,斤,1.0,1877,249.71167046685449,2274,0,-1410,2127
46,6170,06170,杭州,001,001,杭州,A级-智利红提,2020-06-15,338,06170,2020-06-14,16.4,斤,1.0,21,12.273249490710459,30,58,38,0
47,4170,04170,杭州,001,001,杭州,经典-树顶红富士(大),2020-06-15,2245,04170,2020-06-14,20.0,斤,1.0,112,10.0,122,693,631,0
