,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow
0,40480,40480,浙南,009,009,浙南,进口活性草莓味乳酸菌饮品,2020-06-16,18,40480,2020-06-15,10.0,条,10.0,2,2.0,2
1,11120,11120,浙南,009,009,浙南,A级-冰糖冬枣(大),2020-06-16,49,11120,2020-06-15,3.8,斤,,13,6.884443009826979,15
2,2030,02030,浙南,009,009,浙南,A级-美女油桃(中),2020-06-16,59,02030,2020-06-15,10.0,斤,1.0,6,5.0,5
3,40115,40115,浙南,009,009,浙南,油真多海鸭蛋礼盒装,2020-06-16,19,40115,2020-06-15,10.0,盒,10.0,2,2.0,2
4,12050,12050,浙南,009,009,浙南,A级-小黄瓜,2020-06-18,250,12050,2020-06-15,5.0,斤,1.0,50,5.0,50
5,15040,15040,浙南,009,009,浙南,A级-桂味荔枝,2020-06-16,219,15040,2020-06-15,7.0,斤,1.0,31,5.0,31
6,11140,11140,浙南,009,009,浙南,B级-漫山红冬枣(中),2020-06-16,118,11140,2020-06-15,3.8,斤,,31,5.0,31
7,13000,13000,浙南,009,009,浙南,A级-皇冠蜜梨(中),2020-06-16,341,13000,2020-06-15,25.0,斤,1.0,14,5.0,14
8,14800,14800,浙南,009,009,浙南,B级-红西柚(小),2020-06-16,17,14800,2020-06-15,12.0,只,1.0,1,1.0,5
9,40670,40670,浙南,009,009,浙南,越南酸奶芦荟味,2020-06-16,56,40670,2020-06-15,12.0,盒,10.0,5,5.0,4
10,10600,10600,浙南,009,009,浙南,经典-嘴甜蜜瓜,2020-06-16,138,10600,2020-06-15,11.0,小箱,10.0,13,5.0,13
11,40036,40036,浙南,009,009,浙南,香辣海带结192g,2020-06-16,12,40036,2020-06-15,12.0,包,10.0,1,1.0,1
12,7290,07290,浙南,009,009,浙南,A级-银火龙,2020-06-16,159,07290,2020-06-15,10.0,斤,1.0,16,5.0,16
13,1230,01230,浙南,009,009,浙南,A级-巨峰葡萄,2020-06-16,282,01230,2020-06-15,25.0,斤,10.0,11,5.438954147832304,12
14,13737,13737,浙南,009,009,浙南,A级-大红桃(中),2020-06-16,1634,13737,2020-06-15,30.0,斤,10.0,54,5.0,54
15,7270,07270,浙南,009,009,浙南,A级-台湾莲雾(中),2020-06-16,7,07270,2020-06-15,12.0,斤,1.0,1,1.0,1
16,40387,40387,浙南,009,009,浙南,袋装椰汁5包装,2020-06-16,24,40387,2020-06-15,6.0,袋,10.0,4,4.0,4
17,5170,05170,浙南,009,009,浙南,B级-东方蜜甜瓜,2020-06-16,41,05170,2020-06-15,10.0,斤,1.0,4,4.0,3
18,65600,65600,浙南,009,009,浙南,A级-红肉菠萝蜜(大),2020-06-16,34,65600,2020-06-15,1.0,斤,1.0,34,7.689531122824648,26
19,40114,40114,浙南,009,009,浙南,油真多海鸭蛋4粒装,2020-06-16,40,40114,2020-06-15,18.0,盒,10.0,2,2.0,2
20,43170,43170,浙南,009,009,浙南,每日坚果,2020-06-16,38,43170,2020-06-15,30.0,包,10.0,1,1.0,1
21,16010,16010,浙南,009,009,浙南,A级-春蕉,2020-06-16,3944,16010,2020-06-15,18.0,斤,10.0,219,7.283466817998754,212
22,13050,13050,浙南,009,009,浙南,A级-落地碎香梨,2020-06-16,133,13050,2020-06-15,10.5,斤,1.0,13,5.0,13
23,2270,02270,浙南,009,009,浙南,A级-黄金油桃(中),2020-06-16,18,02270,2020-06-15,7.0,斤,1.0,3,3.0,3
24,40069,40069,浙南,009,009,浙南,小京生山核桃味花生,2020-06-16,18,40069,2020-06-15,20.0,袋,,1,1.0,1
25,67250,67250,浙南,009,009,浙南,A级-泰国白蜜柚,2020-06-16,19,67250,2020-06-15,18.0,斤,1.0,1,1.0,1
26,15140,15140,浙南,009,009,浙南,A级-佳沛阳光金果36(大),2020-06-16,2198,15140,2020-06-15,58.0,个,1.0,38,23.6553024358881,13
27,6120,06120,浙南,009,009,浙南,A级-火箭筒苹果,2020-06-16,6,06120,2020-06-15,5.0,条,1.0,1,1.0,1
28,6130,06130,浙南,009,009,浙南,A级-澳洲无籽红提,2020-06-16,447,06130,2020-06-15,18.0,斤,1.0,25,5.0,24
29,5590,05590,浙南,009,009,浙南,A级-佳沛绿果,2020-06-16,290,05590,2020-06-15,92.0,只,1.0,3,3.0,3
30,6000,06000,浙南,009,009,浙南,A级-进口红玫瑰苹果(中),2020-06-16,41,06000,2020-06-15,9.0,斤,1.0,5,5.0,5
31,43155,43155,浙南,009,009,浙南,那么大杨梅218g,2020-06-16,2,43155,2020-06-15,12.0,罐,10.0,0,0.0,0
32,7970,07970,浙南,009,009,浙南,A级-红树莓,2020-06-16,0,07970,2020-06-15,12.0,盒,1.0,0,0.0,0
33,67207,67207,浙南,009,009,浙南,芒果吃光光,2020-06-16,10,67207,2020-06-15,12.0,盒,10.0,1,1.0,1
34,6870,06870,浙南,009,009,浙南,A级-红心李(中),2020-06-16,76,06870,2020-06-15,10.0,斤,1.0,8,5.0,9
35,40680,40680,浙南,009,009,浙南,越南酸奶百香果味,2020-06-16,53,40680,2020-06-15,12.0,盒,10.0,4,4.0,4
36,40037,40037,浙南,009,009,浙南,香辣海带片218g,2020-06-16,14,40037,2020-06-15,12.0,包,10.0,1,1.0,1
37,65210,65210,浙南,009,009,浙南,A级-先锋樱桃(中),2020-06-18,213,65210,2020-06-15,9.0,斤,1.0,24,16.522577146303643,7
38,5980,05980,浙南,009,009,浙南,B级-甜王麒麟瓜,2020-06-16,6533,05980,2020-06-15,30.0,斤,1.0,218,5.0,218
39,6170,06170,浙南,009,009,浙南,A级-智利红提,2020-06-16,46,06170,2020-06-15,16.4,斤,1.0,3,3.0,2
40,5200,05200,浙南,009,009,浙南,A级-沙洲绿宝瓜(中),2020-06-19,635,05200,2020-06-15,14.0,斤,1.0,45,11.757550765359257,31
41,40147,40147,浙南,009,009,浙南,吐司面包,2020-06-16,9,40147,2020-06-15,1.0,小箱,1.0,9,5.0,9
