,scode,sname,goods_code,goods_name,inventory,inventory_left
0,001,杭州配送中心,06850,A级-百香果(盒),82,41
1,001,杭州配送中心,12590,A级-黄金百香果,6,0
2,001,杭州配送中心,06540,A级-美国橙(中),90,2
3,001,杭州配送中心,08810,B级-埃及橙(中),198,64
4,001,杭州配送中心,65950,A级-翡翠红肉柚,207,154
5,001,杭州配送中心,12070,A级-千禧小番茄(中),1406,993
6,001,杭州配送中心,13755,A级-玲珑千禧,401,252
7,001,杭州配送中心,12190,A级-龙珠果,7,6
8,001,杭州配送中心,07340,A级-火参果,14,10
9,001,杭州配送中心,06860,珍贵-黄金火龙果,8,8
10,001,杭州配送中心,13050,A级-落地碎香梨,155,98
11,001,杭州配送中心,13060,A级-库尔勒香梨,189,132
12,001,杭州配送中心,07270,A级-台湾莲雾(中),50,3
13,001,杭州配送中心,14890,经典-猫山王榴莲D197,70,68
14,001,杭州配送中心,14190,A级-青玉香芒(大),158,8
15,001,杭州配送中心,65450,A级-国产蓝莓(中),744,483
16,001,杭州配送中心,07970,A级-红树莓,9,6
17,001,杭州配送中心,05170,B级-东方蜜甜瓜,296,73
18,001,杭州配送中心,05990,A级-博洋香瓜,19,12
19,001,杭州配送中心,05150,A级-绿宝石香瓜,21,8
20,001,杭州配送中心,06790,A级-网纹瓜,944,839
21,001,杭州配送中心,13410,A级-羊角蜜,66,32
22,001,杭州配送中心,01270,A级-冰糖木瓜,18,12
23,001,杭州配送中心,12130,A级-原种红玉木瓜,114,50
24,001,杭州配送中心,10490,A级-欢乐柠檬(个),300,94
25,001,杭州配送中心,07190,A级-黑了好吃牛油果,50,18
26,001,杭州配送中心,04300,A级-国产红蛇果(大),50,25
27,001,杭州配送中心,06120,A级-火箭筒苹果,29,17
28,001,杭州配送中心,04500,A级-阳光冰糖心苹果(大),69,33
29,001,杭州配送中心,65470,A级-进口伽俐果(小),60,0
30,001,杭州配送中心,01230,A级-巨峰葡萄,600,0
