,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
0,40036,上海,007,007,上海,香辣海带结192g,2020-07-08,40036,2020-07-07,12.0,包,4.0,4.0,94.0,0.0,3.0,2020-07-08 09:36:27
1,12130,上海,007,007,上海,A级-原种红玉木瓜,2020-07-08,12130,2020-07-07,10.0,斤,28.0,5.0,12.0,21.0,28.0,2020-07-08 09:36:27
2,07300,上海,007,007,上海,A级-蜜宝火龙果(中),2020-07-08,07300,2020-07-07,9.0,斤,49.0,5.0,-26.0,80.0,51.0,2020-07-08 09:36:27
3,65950,上海,007,007,上海,A级-翡翠红肉柚,2020-07-08,65950,2020-07-07,15.0,斤,19.0,5.680255814877441,0.0,0.0,0.0,2020-07-08 09:36:27
4,40156,上海,007,007,上海,认养一头牛奶酪棒,2020-07-09,40156,2020-07-07,24.0,袋,1.0,1.0,158.0,0.0,0.0,2020-07-08 09:36:27
5,04500,上海,007,007,上海,A级-阳光冰糖心苹果(大),2020-07-08,04500,2020-07-07,36.0,斤,4.0,4.0,3.0,5.0,2.0,2020-07-08 09:36:27
6,30220,上海,007,007,上海,A级-佳沛特大金果王,2020-07-09,30220,2020-07-07,25.0,只,17.0,11.043513194335823,326.0,0.0,27.0,2020-07-08 09:36:27
7,40137,上海,007,007,上海,认养一头牛常温酸奶,2020-07-08,40137,2020-07-07,12.0,包,25.0,5.0,692.0,0.0,24.0,2020-07-08 09:36:27
8,02160,上海,007,007,上海,经典-阳山水蜜桃(中),2020-07-08,02160,2020-07-07,13.0,斤,48.0,48.0,0.0,0.0,21.0,2020-07-08 09:36:27
9,05200,上海,007,007,上海,A级-沙洲绿宝瓜(中),2020-07-08,05200,2020-07-07,12.0,斤,418.0,31.844327979874155,519.0,0.0,297.0,2020-07-08 09:36:27
10,40670,上海,007,007,上海,越南酸奶芦荟味,2020-07-08,40670,2020-07-07,12.0,盒,4.0,4.0,0.0,0.0,0.0,2020-07-08 09:36:27
11,02010,上海,007,007,上海,A级-白凤桃(中),2020-07-08,02010,2020-07-07,7.0,斤,325.0,5.0,75.0,255.0,141.0,2020-07-08 09:36:27
12,40067,上海,007,007,上海,澳洲玫瑰香金葡萄干,2020-07-08,40067,2020-07-07,12.0,盒,9.0,5.0,66.0,0.0,0.0,2020-07-08 09:36:27
13,40115,上海,007,007,上海,油真多海鸭蛋礼盒装,2020-07-08,40115,2020-07-07,10.0,盒,8.0,5.0,307.0,0.0,0.0,2020-07-08 09:36:27
14,06000,上海,007,007,上海,A级-进口红玫瑰苹果(中),2020-07-08,06000,2020-07-07,9.0,斤,27.0,5.0,41.0,0.0,11.0,2020-07-08 09:36:27
15,14800,上海,007,007,上海,B级-红西柚(小),2020-07-08,14800,2020-07-07,12.0,只,24.0,5.0,2.0,27.0,16.0,2020-07-08 09:36:27
16,07340,上海,007,007,上海,A级-火参果,2020-07-08,07340,2020-07-07,8.0,个,3.0,1.0,3.0,1.0,3.0,2020-07-08 09:36:27
17,12640,上海,007,007,上海,A级-甜心山楂,2020-07-08,12640,2020-07-07,6.0,盒,2.0,2.0,4.0,0.0,0.0,2020-07-08 09:36:27
18,07570,上海,007,007,上海,菲诺椰子冻,2020-07-08,07570,2020-07-07,6.0,只,2.0,2.0,3.0,0.0,0.0,2020-07-08 09:36:27
19,65470,上海,007,007,上海,A级-进口伽俐果(小),2020-07-08,65470,2020-07-07,36.0,斤,14.0,5.0,-2.0,21.0,13.0,2020-07-08 09:36:27
20,14890,上海,007,007,上海,经典-猫山王榴莲D197,2020-07-08,14890,2020-07-07,20.0,斤,3.0,3.0,4.0,0.0,0.0,2020-07-08 09:36:27
21,08810,上海,007,007,上海,B级-埃及橙(中),2020-07-10,08810,2020-07-07,30.0,斤,33.0,10.737118528064887,17.0,27.0,42.0,2020-07-08 09:36:27
22,06680,上海,007,007,上海,A级-阳光丑蜜梨(中),2020-07-08,06680,2020-07-07,27.0,斤,13.0,5.0,29.0,0.0,12.0,2020-07-08 09:36:27
23,13755,上海,007,007,上海,A级-玲珑千禧,2020-07-09,13755,2020-07-07,10.0,斤,31.0,5.0,0.0,36.0,20.0,2020-07-08 09:36:27
24,05590,上海,007,007,上海,A级-佳沛绿果,2020-07-08,05590,2020-07-07,33.0,只,15.0,5.742786069211938,21.0,0.0,15.0,2020-07-08 09:36:27
25,01230,上海,007,007,上海,A级-巨峰葡萄,2020-07-08,01230,2020-07-07,25.0,斤,23.0,9.672177645606146,0.0,0.0,0.0,2020-07-08 09:36:27
26,07290,上海,007,007,上海,A级-银火龙,2020-07-08,07290,2020-07-07,7.0,斤,29.0,5.0,18.0,16.0,29.0,2020-07-08 09:36:27
27,06850,上海,007,007,上海,A级-百香果(盒),2020-07-08,06850,2020-07-07,6.0,盒,15.0,5.0,5.0,15.0,11.0,2020-07-08 09:36:27
28,40108,上海,007,007,上海,草莓芝芝夹心雪糕,2020-07-08,40108,2020-07-07,30.0,支,0.0,0.0,18.0,0.0,0.0,2020-07-08 09:36:27
29,65600,上海,007,007,上海,A级-红肉菠萝蜜(大),2020-07-08,65600,2020-07-07,1.0,斤,142.0,59.89395390426077,0.0,0.0,8.0,2020-07-08 09:36:27
30,14060,上海,007,007,上海,A级-鹰嘴芒(中),2020-07-08,14060,2020-07-07,10.0,斤,33.0,5.0,22.0,16.0,29.0,2020-07-08 09:36:27
31,40086,上海,007,007,上海,核气致祥山核桃仁礼盒,2020-07-09,40086,2020-07-07,45.0,盒,1.0,1.0,18.0,0.0,0.0,2020-07-08 09:36:27
32,40037,上海,007,007,上海,香辣海带片218g,2020-07-08,40037,2020-07-07,12.0,包,3.0,1.0,86.0,0.0,3.0,2020-07-08 09:36:27
33,40113,上海,007,007,上海,橙子芝芝夹心雪糕,2020-07-08,40113,2020-07-07,30.0,支,0.0,0.0,33.0,0.0,0.0,2020-07-08 09:36:27
34,67206,上海,007,007,上海,山楂吃光光,2020-07-08,67206,2020-07-07,16.0,盒,3.0,2.0,3.0,0.0,3.0,2020-07-08 09:36:27
35,06790,上海,007,007,上海,A级-网纹瓜,2020-07-08,06790,2020-07-07,16.0,斤,45.0,5.737453036578058,0.0,51.0,39.0,2020-07-08 09:36:27
36,01190,上海,007,007,上海,A级-阳光玫瑰葡萄,2020-07-08,01190,2020-07-07,8.0,斤,183.0,30.16586799408787,696.0,0.0,190.0,2020-07-08 09:36:27
37,14190,上海,007,007,上海,A级-青玉香芒(大),2020-07-08,14190,2020-07-07,10.0,斤,35.0,5.0,1.0,39.0,26.0,2020-07-08 09:36:27
38,08340,上海,007,007,上海,精品冷冻榴莲肉(有核),2020-07-08,08340,2020-07-07,20.0,盒,2.0,2.0,3.0,0.0,0.0,2020-07-08 09:36:27
39,12430,上海,007,007,上海,A级-美国西梅,2020-07-08,12430,2020-07-07,10.0,斤,16.0,5.0,40.0,0.0,16.0,2020-07-08 09:36:27
40,07190,上海,007,007,上海,A级-黑了好吃牛油果,2020-07-08,07190,2020-07-07,20.0,只,7.0,5.0,30.0,0.0,5.0,2020-07-08 09:36:27
41,10600,上海,007,007,上海,经典-嘴甜蜜瓜,2020-07-08,10600,2020-07-07,10.0,小箱,6.0,5.0,73.0,0.0,3.0,2020-07-08 09:36:27
42,06440,上海,007,007,上海,A级-南非蜜桔(中),2020-07-08,06440,2020-07-07,20.0,斤,36.0,9.520118332312077,29.0,17.0,22.0,2020-07-08 09:36:27
43,07350,上海,007,007,上海,A级-泰国椰青(大),2020-07-08,07350,2020-07-07,9.0,只,54.0,5.0,2.0,57.0,52.0,2020-07-08 09:36:27
