,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Distribution_rule,Inventory,Suggestion_qty,Sales_box,Date_timestamp,lms_three,in_transit_stock
0,06000,合肥,006,006,合肥,A级-进口红玫瑰苹果(中),2020-07-10,06000,2020-07-09,4.5,斤,17,5.0,未考虑,48,0.0,9,2020-07-10 09:08:53,13,0.0
1,14190,合肥,006,006,合肥,A级-青玉香芒(大),2020-07-10,14190,2020-07-09,10.0,斤,62,5.0,未考虑,51,16.0,63,2020-07-10 09:08:53,55,0.0
2,40153,合肥,006,006,合肥,小米蛋糕,2020-07-10,40153,2020-07-09,5.0,小箱,15,5.0,未考虑,0,20.0,15,2020-07-10 09:08:53,5,0.0
3,12630,合肥,006,006,合肥,A级-人参果,2020-07-10,12630,2020-07-09,6.0,斤,10,5.0,未考虑,12,3.0,8,2020-07-10 09:08:53,11,0.0
4,06730,合肥,006,006,合肥,A级-泰国释迦(中),2020-07-11,06730,2020-07-09,5.0,斤,4,4.0,未考虑,14,0.0,3,2020-07-10 09:08:53,11,0.0
5,11140,合肥,006,006,合肥,B级-漫山红冬枣(中),2020-07-12,11140,2020-07-09,9.0,斤,440,5.0,未考虑,78,367.0,440,2020-07-10 09:08:53,173,0.0
6,67207,合肥,006,006,合肥,芒果吃光光,2020-07-10,67207,2020-07-09,12.0,盒,5,4.0,未考虑,203,0.0,5,2020-07-10 09:08:53,4,0.0
7,07290,合肥,006,006,合肥,A级-银火龙,2020-07-10,07290,2020-07-09,7.0,斤,54,5.0,未考虑,4,55.0,36,2020-07-10 09:08:53,66,0.0
8,07300,合肥,006,006,合肥,A级-蜜宝火龙果(中),2020-07-10,07300,2020-07-09,10.0,斤,163,8.2015429110899,未考虑,593,0.0,167,2020-07-10 09:08:53,112,0.0
9,08330,合肥,006,006,合肥,冷冻榴莲(无核),2020-07-10,08330,2020-07-09,20.0,盒,6,5.0,未考虑,60,0.0,5,2020-07-10 09:08:53,5,0.0
10,14800,合肥,006,006,合肥,B级-红西柚(小),2020-07-10,14800,2020-07-09,12.0,只,31,5.0,未考虑,39,0.0,31,2020-07-10 09:08:53,18,0.0
11,10890,合肥,006,006,合肥,A级-脆心甜红富士(中),2020-07-10,10890,2020-07-09,21.0,斤,42,14.744075254217906,未考虑,492,0.0,25,2020-07-10 09:08:53,48,0.0
12,07600,合肥,006,006,合肥,A级-菲律宾凤梨(大),2020-07-10,07600,2020-07-09,29.0,斤,103,7.218174340948446,未考虑,46,64.0,106,2020-07-10 09:08:53,111,0.0
13,12090,合肥,006,006,合肥,A级-新疆吊干杏,2020-07-12,12090,2020-07-09,7.0,斤,366,32.33711318112501,未考虑,165,233.0,358,2020-07-10 09:08:53,207,0.0
14,13410,合肥,006,006,合肥,A级-羊角蜜,2020-07-10,13410,2020-07-09,12.0,斤,9,5.0,未考虑,19,0.0,9,2020-07-10 09:08:53,7,0.0
15,07570,合肥,006,006,合肥,菲诺椰子冻,2020-07-10,07570,2020-07-09,6.0,只,11,5.0,未考虑,0,16.0,7,2020-07-10 09:08:53,11,0.0
16,11450,合肥,006,006,合肥,A级-马来西亚榴莲D101,2020-07-10,11450,2020-07-09,20.0,斤,95,5.0,未考虑,552,0.0,95,2020-07-10 09:08:53,18,0.0
17,05590,合肥,006,006,合肥,A级-佳沛绿果,2020-07-10,05590,2020-07-09,33.0,只,81,24.35117228875716,未考虑,0,105.0,40,2020-07-10 09:08:53,57,0.0
18,05000,合肥,006,006,合肥,A级-甜心笑麒麟瓜,2020-07-10,05000,2020-07-09,30.0,斤,847,53.87293692878952,未考虑,435,466.0,781,2020-07-10 09:08:53,893,18960.0
19,11590,合肥,006,006,合肥,A级-满山红富士(中),2020-07-10,11590,2020-07-09,24.0,斤,413,65.0,未考虑,174,350.0,411,2020-07-10 09:08:53,117,0.0
20,13050,合肥,006,006,合肥,A级-落地碎香梨,2020-07-10,13050,2020-07-09,10.5,斤,6,5.0,未考虑,32,0.0,8,2020-07-10 09:08:53,9,0.0
21,13826,合肥,006,006,合肥,A级-樱桃李(大),2020-07-10,13826,2020-07-09,5.0,斤,1,0.0,未考虑,39,0.0,1,2020-07-10 09:08:53,0,0.0
